ID_TERRITORIO,CODIGO,ID_NIVEL_TERRITORIAL,DESCRIPCION,ID_TERRITORIO_PADRE,PATH_DESCRIPCION,PATH_ID,PATH_CODIGO,NOMECLATURA,PATH_NOMECLATURA
468,19,3,"SALITRE (URBINA JADO)",10,"ECUADOR GUAYAS SALITRE (URBINA JADO)","1,10,468","593 09 19",SAL,"EC GUA SAL"
469,20,3,"SAN JACINTO DE YAGUACHI",10,"ECUADOR GUAYAS SAN JACINTO DE YAGUACHI","1,10,469","593 09 20",SJA,"EC GUA SJA"
470,21,3,PLAYAS,10,"ECUADOR GUAYAS PLAYAS","1,10,470","593 09 21",PLA,"EC GUA PLA"
471,22,3,"SIMÓN BOLÍVAR",10,"ECUADOR GUAYAS SIMÓN BOLÍVAR","1,10,471","593 09 22",SBO,"EC GUA SBO"
472,23,3,"CORONEL MARCELINO MARIDUEÑA",10,"ECUADOR GUAYAS CORONEL MARCELINO MARIDUEÑA","1,10,472","593 09 23",CMM,"EC GUA CMM"
473,24,3,"LOMAS DE SARGENTILLO",10,"ECUADOR GUAYAS LOMAS DE SARGENTILLO","1,10,473","593 09 24",LSA,"EC GUA LSA"
474,25,3,NOBOL,10,"ECUADOR GUAYAS NOBOL","1,10,474","593 09 25",NOB,"EC GUA NOB"
476,27,3,"GENERAL ANTONIO ELIZALDE (BUCAY)",10,"ECUADOR GUAYAS GENERAL ANTONIO ELIZALDE (BUCAY)","1,10,476","593 09 27",GAE,"EC GUA GAE"
477,28,3,"ISIDRO AYORA",10,"ECUADOR GUAYAS ISIDRO AYORA","1,10,477","593 09 28",IAY,"EC GUA IAY"
500,01,3,BABAHOYO,13,"ECUADOR LOS RIOS BABAHOYO","1,13,500","593 12 01",BAH,"EC LRI BAH"
501,02,3,BABA,13,"ECUADOR LOS RIOS BABA","1,13,501","593 12 02",BAB,"EC LRI BAB"
502,03,3,MONTALVO,13,"ECUADOR LOS RIOS MONTALVO","1,13,502","593 12 03",MON,"EC LRI MON"
503,04,3,PUEBLOVIEJO,13,"ECUADOR LOS RIOS PUEBLOVIEJO","1,13,503","593 12 04",PUE,"EC LRI PUE"
504,05,3,QUEVEDO,13,"ECUADOR LOS RIOS QUEVEDO","1,13,504","593 12 05",QUE,"EC LRI QUE"
505,06,3,"URDANETA (CATARAMA) ",13,"ECUADOR LOS RIOS URDANETA (CATARAMA) ","1,13,505","593 12 06",URD,"EC LRI URD"
506,07,3,VENTANAS,13,"ECUADOR LOS RIOS VENTANAS","1,13,506","593 12 07",VEN,"EC LRI VEN"
507,08,3,VINCES,13,"ECUADOR LOS RIOS VINCES","1,13,507","593 12 08",VIN,"EC LRI VIN"
508,09,3,PALENQUE,13,"ECUADOR LOS RIOS PALENQUE","1,13,508","593 12 09",PAL,"EC LRI PAL"
509,10,3,"BUENA FÉ",13,"ECUADOR LOS RIOS BUENA FÉ","1,13,509","593 12 10",BUE,"EC LRI BUE"
510,11,3,VALENCIA,13,"ECUADOR LOS RIOS VALENCIA","1,13,510","593 12 11",VAL,"EC LRI VAL"
511,12,3,MOCACHE,13,"ECUADOR LOS RIOS MOCACHE","1,13,511","593 12 12",MOC,"EC LRI MOC"
512,13,3,QUINSALOMA,13,"ECUADOR LOS RIOS QUINSALOMA","1,13,512","593 12 13",QUI,"EC LRI QUI"
1000,50,8,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",200,"ECUADOR AZUAY CUENCA CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.","1,2,200,1000","593 01 01 50",CUE,"EC AZU CUE CUE"
1001,01,4,BELLAVISTA,200,"ECUADOR AZUAY CUENCA BELLAVISTA","1,2,200,1001","593 01 01 01",BEL,"EC AZU CUE BEL"
1002,02,4,CAÑARIBAMBA,200,"ECUADOR AZUAY CUENCA CAÑARIBAMBA","1,2,200,1002","593 01 01 02",CAÑ,"EC AZU CUE CAÑ"
1003,03,4,"EL BATÁN",200,"ECUADOR AZUAY CUENCA EL BATÁN","1,2,200,1003","593 01 01 03",ELB,"EC AZU CUE ELB"
1004,04,4,"EL SAGRARIO",200,"ECUADOR AZUAY CUENCA EL SAGRARIO","1,2,200,1004","593 01 01 04",ELS,"EC AZU CUE ELS"
1005,05,4,"EL VECINO",200,"ECUADOR AZUAY CUENCA EL VECINO","1,2,200,1005","593 01 01 05",ELV,"EC AZU CUE ELV"
1006,06,4,"GIL RAMÍREZ DÁVALOS",200,"ECUADOR AZUAY CUENCA GIL RAMÍREZ DÁVALOS","1,2,200,1006","593 01 01 06",GIL,"EC AZU CUE GIL"
1007,07,4,HUAYNACÁPAC,200,"ECUADOR AZUAY CUENCA HUAYNACÁPAC","1,2,200,1007","593 01 01 07",HUA,"EC AZU CUE HUA"
1008,08,4,MACHÁNGARA,200,"ECUADOR AZUAY CUENCA MACHÁNGARA","1,2,200,1008","593 01 01 08",MAC,"EC AZU CUE MAC"
1009,09,4,MONAY,200,"ECUADOR AZUAY CUENCA MONAY","1,2,200,1009","593 01 01 09",MON,"EC AZU CUE MON"
1010,10,4,"SAN BLAS",200,"ECUADOR AZUAY CUENCA SAN BLAS","1,2,200,1010","593 01 01 10",SAN,"EC AZU CUE SAN"
1011,11,4,"SAN SEBASTIÁN",200,"ECUADOR AZUAY CUENCA SAN SEBASTIÁN","1,2,200,1011","593 01 01 11",SAN,"EC AZU CUE SAN"
1012,12,4,SUCRE,200,"ECUADOR AZUAY CUENCA SUCRE","1,2,200,1012","593 01 01 12",SUC,"EC AZU CUE SUC"
1013,13,4,"TOTORACOCHA ",200,"ECUADOR AZUAY CUENCA TOTORACOCHA ","1,2,200,1013","593 01 01 13",TOT,"EC AZU CUE TOT"
1014,14,4,YANUNCAY,200,"ECUADOR AZUAY CUENCA YANUNCAY","1,2,200,1014","593 01 01 14",YAN,"EC AZU CUE YAN"
1015,15,4,"HERMANO MIGUEL",200,"ECUADOR AZUAY CUENCA HERMANO MIGUEL","1,2,200,1015","593 01 01 15",HER,"EC AZU CUE HER"
1016,51,5,BAÑOS,200,"ECUADOR AZUAY CUENCA BAÑOS","1,2,200,1016","593 01 01 51",BAÑ,"EC AZU CUE BAÑ"
1017,52,5,CUMBE,200,"ECUADOR AZUAY CUENCA CUMBE","1,2,200,1017","593 01 01 52",CUM,"EC AZU CUE CUM"
1018,53,5,CHAUCHA,200,"ECUADOR AZUAY CUENCA CHAUCHA","1,2,200,1018","593 01 01 53",CHA,"EC AZU CUE CHA"
1019,54,5,"CHECA (JIDCAY) ",200,"ECUADOR AZUAY CUENCA CHECA (JIDCAY) ","1,2,200,1019","593 01 01 54",CHE,"EC AZU CUE CHE"
1020,55,5,CHIQUINTAD,200,"ECUADOR AZUAY CUENCA CHIQUINTAD","1,2,200,1020","593 01 01 55",CHI,"EC AZU CUE CHI"
1021,56,5,LLACAO,200,"ECUADOR AZUAY CUENCA LLACAO","1,2,200,1021","593 01 01 56",LLA,"EC AZU CUE LLA"
1022,57,5,MOLLETURO,200,"ECUADOR AZUAY CUENCA MOLLETURO","1,2,200,1022","593 01 01 57",MOL,"EC AZU CUE MOL"
